,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation
116,116,"(70, 71)",0.0466800003748422,0.066746126340882,0.0079365079365079,0.0576561547133962,0.0745451856234284,0.0079365079365079,15,11,1,15,16
117,117,"(71, 66)",0.0354216252173249,0.0654205607476635,0.0079365079365079,0.0346208630732039,0.0723098995695839,0.0079365079365079,24,25,0,106,106
118,118,"(69, 112)",0.0784476197853079,0.0576,0.0059523809523809,0.0570891634851446,0.0832920178482895,0.0059523809523809,5,9,0,1,92
119,119,"(115, 70)",0.0637589116769286,0.0668257756563245,0.0059523809523809,0.0896012497686429,0.0778258184064237,0.0059523809523809,15,6,0,94,94
120,120,"(29, 72)",0.0175677193807696,0.0613437195715676,0.0059523809523809,0.0093552825297558,0.0744240992321323,0.0059523809523809,6,5,0,3,193
121,121,"(72, 73)",0.0057085836195109,0.0638055450056969,0.0059523809523809,0.005560162564069,0.0740196798355118,0.0059523809523809,13,11,0,12,13
122,122,"(74, 75)",0.0167941054193015,0.0662199448167126,0.0059523809523809,0.0117117442552816,0.0740414279418246,0.0059523809523809,10,10,1,4,13
123,123,"(75, 30)",0.0157539196801665,0.0649651972157772,0.0079365079365079,0.0129443598509356,0.0709459459459459,0.0079365079365079,31,39,0,190,192
124,124,"(64, 75)",0.0452521420641273,0.0616664627431787,0.0079365079365079,0.0246148029506789,0.0724762726488352,0.0079365079365079,30,39,0,159,160
125,125,"(75, 72)",0.0462923278032623,0.0649651972157772,0.0079365079365079,0.0225148633090981,0.0738353354819806,0.0079365079365079,8,15,0,15,16
126,126,"(72, 79)",0.0581514635645208,0.0638378720709309,0.0059523809523809,0.0291460227989562,0.0774074642911995,0.0059523809523809,23,16,1,26,26
127,127,"(79, 76)",0.0820282365963639,0.070886075949367,0.0079365079365079,0.0470118719650311,0.0813165537270087,0.0079365079365079,14,14,0,13,14
128,128,"(76, 83)",0.0385942692638235,0.066254765347706,0.0059523809523809,0.0270605208190671,0.0794701986754966,0.0059523809523809,6,8,0,3,140
129,129,"(83, 80)",0.0306979343197747,0.0704304080491894,0.0079365079365079,0.0156561018330022,0.0800381133873273,0.0079365079365079,7,4,0,0,22
130,130,"(81, 82)",0.0447966248699476,0.0735229759299781,0.0079365079365079,0.0454450423431746,0.0854526958290946,0.0079365079365079,10,13,1,4,22
131,131,"(82, 77)",0.0471068560611058,0.0704697986577181,0.0079365079365079,0.0476137655183337,0.0846489754786698,0.0079365079365079,3,14,0,0,142
132,132,"(77, 78)",0.0300743024872641,0.0704304080491894,0.0079365079365079,0.0302565244604665,0.0814611281719735,0.0079365079365079,12,14,0,11,16
133,133,"(78, 73)",0.0476539135092419,0.0712972131843259,0.0059523809523809,0.0510860278513059,0.0814874696847211,0.0059523809523809,24,22,0,23,24
134,134,"(73, 74)",0.0553505686993295,0.070886075949367,0.0079365079365079,0.0507555985593319,0.0781153130812151,0.0079365079365079,15,16,1,15,16
135,135,"(74, 65)",0.0365683917094512,0.066254765347706,0.0059523809523809,0.0315443714359789,0.0756189047261815,0.0059523809523809,9,10,0,0,164
136,136,"(76, 77)",0.0414458957619635,0.0662199448167126,0.0059523809523809,0.0204531657781623,0.0830176247735134,0.0059523809523809,6,10,0,0,13
137,137,"(77, 108)",0.0584784493358052,0.0704500978473581,0.0079365079365079,0.0417848251869912,0.0866277071158473,0.0079365079365079,10,5,0,0,134
138,138,"(108, 109)",0.0295359205601325,0.0712568924077477,0.0079365079365079,0.0243897468924411,0.0857872340425531,0.0079365079365079,6,7,0,0,7
139,139,"(110, 111)",0.0427557427835966,0.0738678000879378,0.0079365079365079,0.0409000039793479,0.0863753213367609,0.0079365079365079,8,7,0,0,9
140,140,"(111, 78)",0.0394683124832437,0.0727482678983833,0.0079365079365079,0.0464215009956009,0.0841121495327102,0.0079365079365079,9,21,0,1,133
141,141,"(78, 79)",0.021888701461266,0.0712568924077477,0.0059523809523809,0.0187113164569659,0.0807562890562409,0.0059523809523809,13,12,0,12,13
142,142,"(109, 110)",0.0524478966346517,0.0740523067881281,0.0079365079365079,0.0650338230562845,0.0883900385829533,0.0079365079365079,2,4,0,1,9
143,143,"(110, 113)",0.0441036110969344,0.0738678000879378,0.0079365079365079,0.0574421244935735,0.0868217054263565,0.0079365079365079,10,10,0,1,132
144,144,"(113, 114)",0.0271608598790306,0.0727062896710906,0.0059523809523809,0.0379557423944051,0.0830039525691699,0.0059523809523809,6,5,1,6,8
145,145,"(115, 112)",0.0156409461187933,0.0667549668874172,0.0059523809523809,0.0151950316084676,0.0828266228430567,0.0059523809523809,6,5,0,0,7
146,146,"(112, 111)",0.0385781511030021,0.06667548617542,0.0079365079365079,0.0446934723505787,0.0853658536585365,0.0079365079365079,2,4,1,0,131
147,147,"(111, 108)",0.0418655814033547,0.0727062896710906,0.0079365079365079,0.0392465784378621,0.0861833105335157,0.0079365079365079,7,7,0,2,9
148,148,"(112, 113)",0.0555104148010992,0.0666402221340737,0.0079365079365079,0.037332599991017,0.082004555808656,0.0079365079365079,11,3,0,0,18
149,149,"(113, 116)",0.0724531660190033,0.0727062896710906,0.0079365079365079,0.0557277806731597,0.0847486127459223,0.0079365079365079,3,4,0,4,230
150,150,"(117, 114)",0.0522389979166911,0.0643595964755459,0.0039682539682539,0.0546806532810241,0.0790836340812804,0.0039682539682539,9,4,0,228,228
151,151,"(114, 115)",0.0813879293662983,0.0714995034756703,0.0079365079365079,0.0988021684193994,0.0816723383568303,0.0079365079365079,15,19,1,18,20
152,152,"(116, 124)",0.0695368557136936,0.0714995034756703,0.0079365079365079,0.0553190058162308,0.0825012276968407,0.0079365079365079,8,8,0,0,94
153,153,"(124, 126)",0.0689081700900668,0.0705981229864126,0.0079365079365079,0.0539625263225446,0.0813428018076178,0.0079365079365079,13,8,1,11,214
154,154,"(129, 125)",0.0516365223669983,0.064113980409617,0.0039682539682539,0.051395326370562,0.0770053475935828,0.0039682539682539,8,4,0,217,220
155,155,"(125, 117)",0.067567125807538,0.0687210253613307,0.0079365079365079,0.0612876201952604,0.0778138026864289,0.0079365079365079,15,21,5,96,96
156,156,"(109, 118)",0.0227069555456377,0.074095854160541,0.0059523809523809,0.018993547166571,0.0865533230293663,0.0059523809523809,6,5,0,15,64
157,157,"(119, 110)",0.0344114572458792,0.0690410958904109,0.0079365079365079,0.0324998738124079,0.0839021142000998,0.0079365079365079,10,10,0,1,66
158,158,"(118, 120)",0.0291169836611472,0.0738678000879378,0.0079365079365079,0.020038051484529,0.0841964584029402,0.0079365079365079,13,12,0,26,27
159,159,"(121, 119)",0.0225770471652323,0.0683204554697031,0.0079365079365079,0.020506986068925,0.0800508259212198,0.0079365079365079,6,7,0,0,27
160,160,"(117, 116)",0.0133400563202702,0.0643267389917039,0.0059523809523809,0.0098434347565927,0.0797847079309799,0.0059523809523809,6,11,2,0,16
161,161,"(116, 119)",0.0162563666255799,0.0714995034756703,0.0079365079365079,0.0139672901557983,0.0817783546973876,0.0079365079365079,11,9,0,1,338
162,162,"(119, 118)",0.0044219565449329,0.0690410958904109,0.0059523809523809,0.0042356106365912,0.0818846466287571,0.0059523809523809,13,4,0,8,14
163,163,"(120, 121)",0.0117652174631725,0.068814855270344,0.0059523809523809,0.0066622921905368,0.0811202317720907,0.0059523809523809,3,6,0,2,16
164,164,"(121, 122)",0.0097841710132252,0.0683204554697031,0.0079365079365079,0.008681975185598,0.0797847079309799,0.0079365079365079,10,8,0,0,260
165,165,"(122, 123)",0.0014690860881573,0.064008128016256,0.0039682539682539,0.0014906113953206,0.0779461800185586,0.0039682539682539,4,4,0,1,16
166,166,"(123, 124)",0.0133138462463364,0.0681818181818181,0.0079365079365079,0.0099288982157643,0.0780790085205267,0.0079365079365079,9,14,0,100,100
167,167,"(124, 125)",0.0139425318699631,0.0705981229864126,0.0059523809523809,0.0089893712033735,0.0790464240903387,0.0059523809523809,4,6,1,12,16
168,168,"(122, 130)",0.0063270133544913,0.0639756283320639,0.0059523809523809,0.0074891982883391,0.0801271860095389,0.0059523809523809,3,3,0,2,102
169,169,"(130, 131)",0.0162147579376349,0.0681818181818181,0.0079365079365079,0.0157069704261905,0.0812510075769788,0.0079365079365079,5,5,1,4,8
170,170,"(132, 133)",0.0208947778900344,0.0687960687960688,0.0079365079365079,0.0113475231515544,0.0797847079309799,0.0079365079365079,6,8,0,2,8
171,171,"(133, 123)",0.0098566885876025,0.070440251572327,0.0059523809523809,0.0069167172892769,0.0773836941501612,0.0059523809523809,10,4,0,88,102
172,172,"(131, 156)",0.0177494556470699,0.0641466208476517,0.0079365079365079,0.0220355848051569,0.0820846905537459,0.0079365079365079,15,19,0,1,69
173,173,"(156, 157)",0.0287155374630523,0.0687960687960688,0.0079365079365079,0.033538231853582,0.0833471142715396,0.0079365079365079,5,4,0,2,5
174,174,"(157, 160)",0.0478732245604227,0.0729166666666666,0.0079365079365079,0.0416554494208056,0.0861096873398257,0.0079365079365079,28,21,0,2,28
175,175,"(160, 161)",0.0175278027601586,0.0710259301014656,0.0079365079365079,0.0133838279145322,0.083072358661612,0.0079365079365079,5,4,0,0,5
176,176,"(162, 163)",0.0278106198337014,0.0686461454644511,0.0079365079365079,0.0150212080869544,0.0825147347740668,0.0079365079365079,4,3,0,2,4
177,177,"(163, 158)",0.0286345312405438,0.0692593101552837,0.0079365079365079,0.0163470547639351,0.0816591056383668,0.0079365079365079,18,23,0,4,29
178,178,"(158, 159)",0.0379902670055126,0.0710259301014656,0.0079365079365079,0.0201737091744257,0.0821515892420537,0.0079365079365079,5,4,0,2,5
179,179,"(159, 132)",0.0290142572289491,0.0713173906891184,0.0079365079365079,0.0170448251843256,0.08047261695673,0.0079365079365079,14,10,0,3,69
180,180,"(161, 176)",0.0101759811501362,0.070935960591133,0.0079365079365079,0.0108752766788726,0.0826907301066448,0.0079365079365079,10,12,0,7,74
