Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC
122,"(350, 351)",0.016986758232810123,0.01911615521176769,0.001658374792703151,0.01276133548714251,0.02423146473779385,0.001658374792703151
123,"(351, 352)",0.016986758232810123,0.018762543366989747,0.001658374792703151,0.01426281839074346,0.024774543437621973,0.001658374792703151
124,"(352, 20)",0.016986758232810123,0.018421776189166895,0.0024875621890547263,0.016499556746108472,0.025346784363177804,0.0024875621890547263
125,"(355, 354)",0.010956851410186375,0.021565752297843424,0.001658374792703151,0.0064676690735438105,0.023285449490268766,0.001658374792703151
126,"(354, 353)",0.010956851410186375,0.021116772600724903,0.001658374792703151,0.00498820608420286,0.022811962093555526,0.001658374792703151
127,"(353, 18)",0.01095685141018638,0.020686106346483706,0.001658374792703151,0.003520303549848312,0.022360663032595395,0.001658374792703151
128,"(18, 19)",0.013204035149288139,0.020566517164344548,0.0024875621890547263,0.0024716042592871895,0.021931659059084545,0.0024875621890547263
129,"(356, 355)",0.010956851410186375,0.022034238941771873,0.001658374792703151,0.007958142020014713,0.02378276045672366,0.001658374792703151
130,"(357, 356)",0.010956851410186375,0.022523532048408786,0.001658374792703151,0.00945962492361562,0.024305695513724856,0.001658374792703151
131,"(23, 357)",0.01095685141018638,0.023035049183459076,0.001658374792703151,0.01097280590666718,0.02485624188462252,0.001658374792703151
132,"(371, 21)",0.010159039023224455,0.02264916333314553,0.0024875621890547263,0.0070787820557998305,0.02609147159361343,0.0024875621890547263
133,"(21, 22)",0.00430587056399896,0.023200338578738794,0.0024875621890547263,0.004224702974034004,0.025606726543091915,0.0024875621890547263
134,"(23, 20)",0.010627705180872951,0.023028891137886916,0.0024875621890547263,0.003526385265497973,0.025462376488472258,0.0024875621890547263
135,"(20, 370)",0.005484924714502963,0.02263088759617189,0.0024875621890547263,0.004581880422535174,0.02536651031697621,0.0024875621890547263
136,"(20, 21)",0.02212953869918011,0.022626641651031894,0.003316749585406302,0.019529703433223623,0.025879828326180257,0.003316749585406302
137,"(21, 388)",0.027982707158405434,0.02320480258600785,0.0024875621890547263,0.024685138493462648,0.0264583927513657,0.0024875621890547263
138,"(388, 389)",0.027982707158405434,0.022684096680146714,0.001658374792703151,0.025605506801225107,0.02695333452529948,0.001658374792703151
139,"(389, 390)",0.027982707158405434,0.02218624673461128,0.001658374792703151,0.026774282562804542,0.027474655427725255,0.001658374792703151
140,"(390, 32)",0.027982707158405434,0.021709780201976562,0.0024875621890547263,0.030584783823154965,0.02805238305691889,0.0024875621890547263
141,"(32, 33)",0.023890001353307235,0.024762334969098413,0.003316749585406302,0.02299349965330817,0.028238269176735036,0.003316749585406302
142,"(33, 494)",0.04802210707642057,0.025436061839579863,0.0024875621890547263,0.0433770541634565,0.028778008447276113,0.0024875621890547263
143,"(494, 495)",0.04802210707642057,0.024816857354514776,0.001658374792703151,0.044137533401547545,0.029251255184457543,0.001658374792703151
