Nodo,conecciones,Betweenness_nx,Betweenness_streets,Closeness_streets,Degree_streets
47,"(316, 317)",0.03119,0.02839,0.02235,0.00166
48,"(317, 318)",0.03119,0.02839,0.02187,0.00166
49,"(318, 319)",0.03119,0.02839,0.02141,0.00166
50,"(319, 4)",0.03119,0.02839,0.02097,0.00249
51,"(4, 6)",0.04312,0.03989,0.02376,0.00249
52,"(324, 325)",0.01924,0.0169,0.01908,0.00166
53,"(325, 326)",0.01924,0.0169,0.01873,0.00166
54,"(326, 327)",0.01924,0.0169,0.0184,0.00166
55,"(327, 328)",0.01924,0.0169,0.01807,0.00166
56,"(328, 329)",0.01924,0.0169,0.01776,0.00166
57,"(329, 330)",0.01924,0.0169,0.01746,0.00166
58,"(330, 12)",0.01924,0.0169,0.01716,0.00249
59,"(12, 13)",0.00399,0.00359,0.0203,0.00332
60,"(13, 342)",0.01053,0.00975,0.02112,0.00249
61,"(342, 343)",0.01053,0.00975,0.02069,0.00166
62,"(343, 344)",0.01053,0.00975,0.02028,0.00166
63,"(344, 17)",0.01053,0.00975,0.01988,0.00249
64,"(17, 18)",0.00151,0.00142,0.02026,0.00249
65,"(19, 16)",0.01339,0.0132,0.02015,0.00249
66,"(16, 345)",0.00437,0.00372,0.01976,0.00166
67,"(345, 346)",0.00437,0.00372,0.01938,0.00166
68,"(346, 347)",0.00437,0.00372,0.01902,0.00166
69,"(347, 14)",0.00437,0.00372,0.01866,0.00166
70,"(14, 15)",0.0249,0.0235,0.02071,0.00332
71,"(15, 341)",0.01346,0.01144,0.0203,0.00166
72,"(341, 340)",0.01346,0.01144,0.0199,0.00166
73,"(340, 339)",0.01346,0.01144,0.01953,0.00166
74,"(339, 338)",0.01346,0.01144,0.01916,0.00166
75,"(338, 337)",0.01346,0.01144,0.01881,0.00166
76,"(337, 336)",0.01346,0.01144,0.01847,0.00166
77,"(336, 335)",0.01346,0.01144,0.01814,0.00166
78,"(15, 12)",0.01144,0.01123,0.02029,0.00249
79,"(12, 367)",0.02668,0.02454,0.02031,0.00249
80,"(367, 366)",0.02668,0.02454,0.01991,0.00166
81,"(366, 365)",0.02668,0.02454,0.01952,0.00166
82,"(365, 364)",0.02668,0.02454,0.01916,0.00166
83,"(364, 363)",0.02668,0.02454,0.0188,0.00166
84,"(363, 24)",0.02668,0.02454,0.01846,0.00249
85,"(24, 25)",0.02916,0.02857,0.02332,0.00332
86,"(25, 382)",0.04971,0.04705,0.02377,0.00249
87,"(382, 383)",0.04971,0.04705,0.02323,0.00166
88,"(386, 385)",0.03317,0.03146,0.02446,0.00166
89,"(385, 26)",0.03317,0.03146,0.02388,0.00249
90,"(26, 27)",0.04477,0.04284,0.02428,0.00332
91,"(27, 362)",0.02707,0.02511,0.02378,0.00249
92,"(362, 361)",0.02707,0.02511,0.02323,0.00166
93,"(361, 360)",0.02707,0.02511,0.02271,0.00166
94,"(360, 359)",0.02707,0.02511,0.02221,0.00166
95,"(359, 358)",0.02707,0.02511,0.02174,0.00166
