Nodo,BC,CC,DC,DiBC,DiCC,DiDC
87,0.012860377834505873,0.08634132255269997,0.013377926421404682,0.018946698455331923,0.07171983689134084,0.016722408026755852
88,0.02860245585272005,0.07895431740163718,0.010033444816053512,0.0500426769029045,0.06846805587359743,0.010033444816053512
89,0.03715747366897343,0.08271092669432918,0.010033444816053512,0.050042676902904495,0.06412180999356637,0.010033444816053512
90,0.0912868583208015,0.08696916812100058,0.013377926421404682,0.06585465605809177,0.07190957190957191,0.013377926421404682
91,0.09118691876714081,0.08282548476454293,0.013377926421404682,0.06742286240421244,0.07175425965922726,0.013377926421404682
92,0.04632863641142099,0.08434414668547249,0.010033444816053512,0.0718262721618426,0.07190957190957191,0.010033444816053512
93,0.05756738455280882,0.08750365817968979,0.010033444816053512,0.0718262721618426,0.06713066906151774,0.010033444816053512
94,0.09883536151670293,0.09228395061728395,0.013377926421404682,0.08157752580114652,0.07501254390366283,0.013377926421404682
95,0.0944481442638134,0.08877672209026129,0.013377926421404682,0.0876382513170299,0.07531486146095717,0.013377926421404682
96,0.01159284315834233,0.08812260536398467,0.010033444816053512,0.022928377429398752,0.0748997995991984,0.010033444816053512
97,0.026010290971205458,0.09251237623762376,0.010033444816053512,0.016867651913515323,0.06982718355908454,0.010033444816053512
98,0.04599707630139099,0.09099208764455265,0.013377926421404682,0.04271222310558404,0.07994652406417112,0.013377926421404682
99,0.08431631311289389,0.09468017732742241,0.013377926421404682,0.06103932350389798,0.07714138286893704,0.013377926421404682
100,0.03162736965551979,0.08909415971394517,0.013377926421404682,0.03602772337088066,0.0727670966171818,0.013377926421404682
101,0.042516107578273156,0.0926270136307311,0.013377926421404682,0.054354823769194226,0.07994652406417112,0.013377926421404682
102,0.018217448788412943,0.09107523606457509,0.010033444816053512,0.03033483539262596,0.07912146070388992,0.010033444816053512
103,0.015526314179304588,0.08765757842274993,0.010033444816053512,0.03033483539262596,0.07337423312883436,0.010033444816053512
104,0.022088588470993133,0.09268443893366397,0.010033444816053512,0.09683110635109467,0.07912146070388992,0.010033444816053512
105,0.05061067322139808,0.09504132231404959,0.010033444816053512,0.09683110635109467,0.07337423312883436,0.010033444816053512
106,0.11396130949073958,0.09340830990315527,0.013377926421404682,0.049652273772884684,0.07488104182319058,0.013377926421404682
107,0.06220751887996883,0.09113075281926242,0.013377926421404682,0.07281111797452619,0.07678479712378017,0.013377926421404682
108,0.1051109073324432,0.08962829736211031,0.013377926421404682,0.09181138857700555,0.07337423312883436,0.013377926421404682
109,0.09423231784822363,0.09183046683046683,0.013377926421404682,0.06865254437536404,0.07678479712378017,0.013377926421404682
110,0.07797507336930841,0.09011452682338758,0.013377926421404682,0.07807884267733299,0.07660773763771458,0.013377926421404682
111,0.11137971535833613,0.08799293702177752,0.013377926421404682,0.0737818978971908,0.07522012578616352,0.013377926421404682
112,0.10865307075277769,0.08611751152073732,0.013377926421404682,0.08918408699558404,0.06870404411764706,0.013377926421404682
113,0.07194329810382129,0.08814858490566038,0.013377926421404682,0.09348103177572573,0.07522012578616352,0.013377926421404682
114,0.05761910042997689,0.08389450056116723,0.010033444816053512,0.07731064082228069,0.07408325074331021,0.010033444816053512
115,0.08313222588206888,0.08205268935236004,0.010033444816053512,0.07731064082228069,0.06902123730378577,0.010033444816053512
116,0.06503791132273855,0.08525805531793555,0.013377926421404682,0.07916543504156583,0.07408325074331021,0.013377926421404682
117,0.05097602421307567,0.0812720848056537,0.010033444816053512,0.06299504408812064,0.0665924276169265,0.010033444816053512
118,0.014920237800973552,0.08822661552080259,0.010033444816053512,0.02267497603068074,0.07660773763771458,0.010033444816053512
119,0.03689891589479439,0.08699447192318882,0.013377926421404682,0.03210127433264958,0.07139446036294174,0.013377926421404682
120,0.008984415961451246,0.08674209457499275,0.010033444816053512,0.02267497603068074,0.07120743034055728,0.010033444816053512
121,0.02112292686176198,0.08451102317693612,0.013377926421404682,0.025447507458012275,0.07065217391304347,0.013377926421404682
122,0.005818679712012026,0.08261950815142305,0.010033444816053512,0.005397773124647943,0.06603356890459364,0.010033444816053512
123,0.005922098835697392,0.0810957417954977,0.010033444816053512,0.008834025341488668,0.0706855791962175,0.010033444816053512
124,0.05841451574336625,0.0831248262440923,0.013377926421404682,0.0759479203837692,0.07303370786516854,0.013377926421404682
125,0.04806179012042468,0.07933138763597772,0.010033444816053512,0.06299504408812062,0.07129232236528374,0.010033444816053512
126,0.05343423947627876,0.08331011423794929,0.013377926421404682,0.06888104600389407,0.07129232236528374,0.013377926421404682
127,0.05179139765399191,0.08420163334272036,0.013377926421404682,0.0671355380491876,0.0732843137254902,0.013377926421404682
128,0.04446935923014674,0.0803115766854687,0.010033444816053512,0.055928169708245455,0.07139446036294174,0.010033444816053512
129,0.04614973736900383,0.07950013294336612,0.010033444816053512,0.055928169708245455,0.06668153434433541,0.010033444816053512
130,0.012881401214612754,0.08377696833847016,0.013377926421404682,0.025925504317684075,0.0706855791962175,0.013377926421404682
131,0.020754563878912714,0.08540417023707512,0.013377926421404682,0.018089701369537962,0.06635596981802042,0.013377926421404682
132,0.020145222375910862,0.08377696833847016,0.013377926421404682,0.027616248579818335,0.07184046131667468,0.013377926421404682
133,0.013419276266722265,0.08221061314270003,0.013377926421404682,0.029361756534524754,0.0732843137254902,0.013377926421404682
134,0.012020619502655427,0.08801884015307625,0.010033444816053512,0.01956516394800609,0.07065217391304347,0.010033444816053512
135,0.026127597163215676,0.08981676179032742,0.010033444816053512,0.01956516394800609,0.06603356890459364,0.010033444816053512
136,0.017808053989805575,0.08742690058479533,0.013377926421404682,0.014501892427191547,0.06838975297346753,0.013377926421404682
137,0.01644760966236668,0.08572247706422019,0.013377926421404682,0.022337695375337627,0.06635596981802042,0.013377926421404682
138,0.10246667936565311,0.09720416124837451,0.013377926421404682,0.10278702913660599,0.07488104182319058,0.013377926421404682
139,0.07790266835238098,0.09549664643883743,0.010033444816053512,0.0556081965583961,0.07208293153326904,0.010033444816053512
140,0.10740512647167237,0.09842001316655695,0.013377926421404682,0.10904694485416189,0.08151581243184297,0.013377926421404682
141,0.058229880282734674,0.09666989977368251,0.010033444816053512,0.055608196558396085,0.07762201453790239,0.010033444816053512
142,0.05473208637082364,0.09486040609137056,0.013377926421404682,0.05061456392066257,0.07710159876224858,0.013377926421404682
143,0.10580289943780237,0.09714100064977257,0.013377926421404682,0.09478623551104506,0.08151581243184297,0.013377926421404682
144,0.07036898716973926,0.0960179833012203,0.013377926421404682,0.06299564492463582,0.07714138286893704,0.013377926421404682
145,0.09761123228496109,0.09835526315789474,0.013377926421404682,0.10104615122860078,0.07792546260099036,0.013377926421404682
146,0.07790435712876521,0.08960143841774049,0.010033444816053512,0.09185135698850314,0.07501254390366283,0.010033444816053512
147,0.11184837041815637,0.09462025316455697,0.013377926421404682,0.10160261062780716,0.07714138286893704,0.013377926421404682
148,0.13740757172657808,0.09063352531070021,0.010033444816053512,0.09185135698850314,0.06982718355908454,0.010033444816053512
149,0.13955420823260709,0.09577194106342088,0.013377926421404682,0.11398369163178035,0.07482482482482483,0.013377926421404682
