,Unnamed: 0.1,Unnamed: 0,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation,mean_state_RW,mean_state_RW_lim,mean_state_RWM,mean_state_RWM_lim
372,372,372,372,"(194, 201)",0.0268301566263792,0.067030190184865,0.0059523809523809,0.0150263124119205,0.085264760615801,0.0059523809523809,3,5,0,0,10,9.1366,5.315713444973516,0.1381446616783329,0.4772276486658433
373,373,373,373,"(201, 196)",0.0273098934736253,0.0680253745444729,0.0059523809523809,0.0127238819159962,0.0815402038505096,0.0059523809523809,1,6,0,0,9,10.01336,4.904071478251565,0.1535119478638667,0.4683956438756034
374,374,374,374,"(195, 149)",0.1021709250668826,0.0665083135391924,0.0079365079365079,0.0926790523892455,0.0897276126045932,0.0079365079365079,11,8,0,1,486,19.15218,10.469423786849283,0.399388526832408,1.8141910856629615
375,375,375,375,"(275, 276)",0.0130565811480324,0.0615835777126099,0.0039682539682539,0.0033752887817736,0.0717335610589239,0.0039682539682539,10,6,0,8,10,14.84036,7.606388101225188,0.238313621369378,1.119344335915572
376,376,376,376,"(273, 274)",0.0037710246457761,0.0570781426953567,0.0039682539682539,0.0033752887817736,0.0717335610589239,0.0039682539682539,12,7,1,1,12,15.53162,8.698678508373014,0.2709791616381044,0.9767598518019536
377,377,377,377,"(185, 188)",0.0573112909842531,0.0704107292539815,0.0079365079365079,0.0844120057838767,0.0813428018076178,0.0079365079365079,241,195,1,237,252,18.47368,232.4656251671928,0.3328505913589186,241.4871449421803
378,378,378,378,"(193, 186)",0.0210672315059994,0.0667992047713717,0.0059523809523809,0.0078548546146545,0.0838741887169246,0.0059523809523809,4,2,0,0,224,16.16518,4.006794714033492,0.2824040550325851,0.9900827064855358
379,379,379,379,"(181, 192)",0.0242920206953932,0.0749665327978581,0.0059523809523809,0.0171825426441324,0.0840420210105052,0.0059523809523809,216,216,0,213,216,15.47844,215.41297950885453,0.2823235980368493,208.2396242655589
380,380,380,380,"(191, 182)",0.0506395072303543,0.0576923076923076,0.0059523809523809,0.0407890770555673,0.0805369127516778,0.0059523809523809,21,10,0,1,226,16.81682,12.52565405810283,0.3001850510901923,1.2926537180494742
381,381,381,381,"(193, 188)",0.0194184101738773,0.0668169163462813,0.0059523809523809,0.0147024022143275,0.0776220545202525,0.0059523809523809,24,24,0,7,24,16.19652,23.707399283077415,0.2721860165741411,11.498147524418997
382,382,382,382,"(188, 189)",0.0104028606140932,0.0673526660430308,0.0059523809523809,0.0078142807209676,0.0774074642911995,0.0059523809523809,32,32,2,24,32,17.33532,31.97255363543952,0.3202993000241371,30.808016167059616
383,383,383,383,"(189, 190)",0.012548715642652,0.0647149460708782,0.0059523809523809,0.0080205506227919,0.0755395683453237,0.0059523809523809,14,14,1,13,14,25.54382,13.888609491198972,0.6690803765387401,12.903259608547584
384,384,384,384,"(190, 191)",0.0688211997854145,0.0611576265016381,0.0079365079365079,0.0396651056551788,0.0772650620879963,0.0079365079365079,15,18,0,18,18,33.67342,17.434433684661066,11.370021723388849,15.026645709367164
385,385,385,385,"(191, 192)",0.0161936209844836,0.0576659038901601,0.0039682539682539,0.0023083364524737,0.0772413793103448,0.0039682539682539,20,20,0,1,20,16.89308,19.9497619175004,0.3014723630219648,10.663859885483328
386,386,386,386,"(192, 193)",0.0424737132504533,0.0715502555366269,0.0079365079365079,0.0203408761245961,0.0809638554216867,0.0079365079365079,8,8,0,8,8,32.31408,7.976405756781339,2.471558452007402,6.977134089293066
387,387,387,387,"(188, 270)",0.0663268405440372,0.0673886883273164,0.0059523809523809,0.0844970073449307,0.0762942779291553,0.0059523809523809,114,114,0,114,114,17.32472,113.93435343213312,0.3095985195912785,112.74349762359194
388,388,388,388,"(272, 299)",0.0564302676007447,0.05614347777654,0.0059523809523809,0.0279871892109224,0.0700876095118898,0.0059523809523809,4,4,0,2,76,16.37508,8.265742870900434,0.2912543245635208,0.9529583473672392
389,389,389,389,"(299, 189)",0.0001577834579822,0.0532150776053215,0.0039682539682539,0.0012397112302866,0.0710659898477157,0.0039682539682539,15,18,0,0,18,8.16524,17.023968755015783,0.1233405744629495,1.9582350959919164
390,390,390,390,"(299, 190)",0.0542844125721859,0.0532094594594594,0.0039682539682539,0.0293369573842305,0.0728218465539661,0.0039682539682539,6,20,0,1,30,8.20666,12.285377989406664,0.1231796604714779,0.7514688821526141
391,391,391,391,"(270, 269)",0.0697142541575939,0.0649484536082474,0.0079365079365079,0.0817740472021315,0.0717948717948717,0.0079365079365079,8,8,0,6,8,33.69632,7.939061580439784,5.408801995333494,6.9138131057969385
392,392,392,392,"(269, 268)",0.0542652813279054,0.0610391183238464,0.0039682539682539,0.0646551355229072,0.0681910431606007,0.0039682539682539,1,7,0,0,20,16.81724,4.252420951259965,0.2972885992437042,4.852550428501927
393,393,393,393,"(268, 266)",0.0578686610495754,0.0594199481254421,0.0079365079365079,0.0628111859198337,0.0650322580645161,0.0079365079365079,10,12,1,0,18,32.71166,11.901717404098228,3.503097594335828,12.530818457393062
394,394,394,394,"(266, 263)",0.0459185364006436,0.0561309722686267,0.0039682539682539,0.0495660765589985,0.0621838371375694,0.0039682539682539,11,11,1,2,64,16.39118,21.051094109464447,0.299541395124306,5.728004191459901
395,395,395,395,"(263, 264)",0.0496599766480481,0.0548900021781746,0.0079365079365079,0.0477383136851858,0.0596308566019876,0.0079365079365079,11,11,0,7,12,31.8046,11.221282970413569,2.8562233486201625,7.623292541446802
396,396,396,396,"(264, 259)",0.0378341064722773,0.0520714949891517,0.0039682539682539,0.0364212343858596,0.0572792362768496,0.0039682539682539,13,18,0,0,34,15.92888,12.293777753999253,0.2851395928876016,2.8668088769132893
397,397,397,397,"(259, 260)",0.0416998011928428,0.0511467424396184,0.0079365079365079,0.0345934055203583,0.0551543007222587,0.0079365079365079,9,9,1,2,12,30.86682,10.764218072869296,1.5501649368412584,6.477003106171177
398,398,398,398,"(260, 255)",0.0299607119189624,0.0486909477345184,0.0039682539682539,0.0245324620226891,0.0531813865147198,0.0039682539682539,33,41,1,0,50,15.43606,32.71975817238243,0.2696113927105962,2.4524157030051272
399,399,399,399,"(255, 256)",0.0339131875414181,0.0479269684290604,0.0079365079365079,0.0227607216086932,0.0513866231647634,0.0079365079365079,9,10,0,3,10,29.9033,9.790861912150232,2.0854453294713977,5.022304554470267
400,400,400,400,"(256, 251)",0.0236059831487267,0.0457640969763007,0.0039682539682539,0.0136237757474656,0.0497286630488406,0.0039682539682539,20,18,0,1,24,14.95676,16.332084960676262,0.2677608818086732,1.474720257475394
401,401,401,401,"(251, 252)",0.0289903436523715,0.0451127819548872,0.0079365079365079,0.013025585891066,0.0482296650717703,0.0079365079365079,12,12,0,4,12,28.91758,11.504788400834626,1.4246520234934428,4.682908573780922
402,402,402,402,"(252, 247)",0.0219334784941146,0.0431913617276544,0.0039682539682539,0.0071798089069983,0.0481467329002674,0.0039682539682539,7,6,0,1,48,14.50358,6.597453319779573,0.2413709872073376,1.2126043187006474
403,403,403,403,"(247, 248)",0.0321354939148179,0.0433660299432111,0.0079365079365079,0.0158137784423885,0.0493440375954572,0.0079365079365079,16,11,0,10,16,27.97468,11.630945374779303,0.9485879797248372,4.404625575390143
404,404,404,404,"(248, 289)",0.0283672304795565,0.0415944540727903,0.0059523809523809,0.0170254711385093,0.051255974778806,0.0059523809523809,5,2,0,3,16,13.99052,5.844524102509229,0.2359803684930404,0.7065229594700797
405,405,405,405,"(289, 290)",0.018967280970263,0.0399746192893401,0.0039682539682539,0.0168882448566756,0.0530191458026509,0.0039682539682539,3,5,0,1,18,7.04888,2.937296024824782,0.1086974012390377,0.3569477190224916
406,406,406,406,"(289, 291)",0.0074118779387169,0.0399619410085632,0.0059523809523809,0.0034554008736096,0.0518092105263157,0.0059523809523809,2,3,0,0,20,6.98012,2.917018886094912,0.1073296323115294,0.2634631937427491
407,407,407,407,"(246, 245)",0.0222389209715253,0.0442144047723484,0.0079365079365079,0.0174203393762751,0.0477906315190593,0.0079365079365079,12,10,0,5,12,27.09076,10.761007971751113,1.1062836913669645,3.5245312675423826
408,408,408,408,"(245, 250)",0.012036905550822,0.0423671822461331,0.0039682539682539,0.013313609745962,0.0469842453621702,0.0039682539682539,35,29,1,2,54,13.542,31.869402386175164,0.230670206774479,1.3788031885034242
409,409,409,409,"(250, 249)",0.0190937707090788,0.0433660299432111,0.0079365079365079,0.0154781875621547,0.0469011725293132,0.0079365079365079,12,12,0,1,12,28.0005,11.719811674067731,1.988253278622576,4.111747314846001
410,410,410,410,"(249, 254)",0.013709410205434,0.0415875897351266,0.0039682539682539,0.0152264430696105,0.0479543292102759,0.0039682539682539,20,17,0,0,20,13.99272,17.8145096570542,0.2394400193096789,1.4126342576999364
411,411,411,411,"(254, 253)",0.0240166145981255,0.0451127819548872,0.0079365079365079,0.019844424733894,0.0494845360824742,0.0079365079365079,10,9,0,4,10,28.97992,9.692258306136644,1.1066055193499076,4.421166872497286
