,conection,lanes,Largo,/2023-03-29_07-30.png,/2023-03-30_08-30.png,/2023-03-31_09-30.png,/2023-04-02_06-45.png,/2023-04-03_08-00.png,/2023-04-04_16-45.png,/2023-04-05_17-45.png,/2023-04-06_18-45.png,/2023-04-07_21-15.png,/2023-04-08_22-45.png,/2023-04-10_01-45.png,/2023-04-11_02-45.png,/2023-04-12_07-45.png,/2023-04-13_08-45.png,/2023-04-14_14-45.png,/2023-04-16_09-15.png,/2023-04-17_10-30.png,/2023-04-18_12-30.png,/2023-04-22_14-00.png,/2023-04-23_15-45.png,/2023-04-24_16-45.png,/2023-04-25_18-15.png,/2023-04-26_19-15.png,/2023-05-02_11-00.png,/2023-05-05_16-00.png,/2023-05-10_04-45.png,/2023-05-11_05-45.png,/2023-05-23_14-30.png,/2023-05-25_05-15.png,/2023-05-31_16-30.png
1048,"(861, 212)",2,12.607755489666687,127,127,63,95,63,191,95,95,95,63,95,95,127,159,127,127,63,95,95,95,159,127,95,127,191,0,95,63,0,223
1049,"(212, 213)",2,4.206235357361252,84,84,42,63,42,84,31,63,63,42,63,106,84,84,84,84,42,63,63,63,84,84,63,84,84,0,106,42,0,84
1050,"(213, 863)",2,12.29375362837057,63,63,63,63,63,63,31,63,63,63,63,148,63,63,63,63,63,63,63,63,63,63,63,105,63,0,105,63,0,63
1051,"(863, 865)",2,11.564073030157495,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1052,"(865, 867)",2,13.413635913563716,84,42,42,42,84,42,42,42,42,42,42,42,42,42,84,42,42,42,42,42,42,42,42,42,42,0,42,42,0,42
1053,"(867, 869)",2,12.607091691436986,95,63,63,63,127,63,63,63,63,63,63,63,63,63,95,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1054,"(869, 208)",2,9.874097567481327,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,42,31,0,31,31,0,31
1055,"(208, 209)",2,3.244893834978742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
1056,"(209, 204)",2,11.191784560071387,31,31,31,31,63,63,95,63,31,31,63,31,63,31,63,31,31,31,31,63,63,31,31,63,95,0,0,63,0,63
1057,"(204, 205)",2,2.415001954205956,63,63,63,63,127,127,191,127,63,63,127,63,127,63,127,63,63,63,63,127,127,63,63,63,191,0,0,127,0,127
1058,"(860, 858)",2,11.400103832471082,31,31,31,31,31,31,31,63,63,63,0,31,31,31,31,63,63,31,31,31,31,31,31,31,63,0,31,31,0,31
1059,"(858, 214)",2,12.13345431008888,31,31,31,31,31,31,31,31,31,31,0,31,31,31,31,31,63,31,31,31,31,31,31,31,31,0,31,31,0,31
1060,"(214, 215)",2,3.6480754411263425,42,42,42,42,42,42,42,42,42,42,0,42,42,42,42,42,63,42,42,42,42,42,42,42,42,0,42,42,0,42
1061,"(215, 856)",2,8.561756542341895,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1062,"(856, 218)",2,10.238400163749436,63,63,31,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1063,"(218, 219)",2,2.6617277951002825,63,63,42,63,42,42,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,42,0,63,63,0,63
1064,"(219, 854)",2,10.94204759245629,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1065,"(854, 851)",2,11.989562233796715,63,63,63,63,95,95,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1066,"(851, 223)",2,7.942889039727558,63,63,63,63,127,127,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,63,63,0,63
1067,"(223, 224)",2,5.381956858711367,31,31,31,31,63,127,31,31,31,31,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0,31,31,0,31
1068,"(224, 849)",2,7.478586345245654,127,84,42,42,170,127,84,42,42,42,0,42,84,42,42,42,84,84,84,42,84,84,84,84,84,0,42,84,0,84
1069,"(850, 225)",2,7.194514889061224,105,84,63,63,84,105,84,84,63,63,0,63,84,63,84,63,84,84,84,63,84,105,63,84,105,0,0,63,0,84
1070,"(225, 222)",2,5.737495398103985,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1071,"(222, 852)",2,8.513198666337816,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1072,"(852, 853)",2,12.12425490479533,42,42,63,63,42,42,42,42,63,63,0,63,42,63,42,63,42,42,42,63,42,42,63,42,42,0,0,63,0,42
1073,"(853, 220)",2,10.8783298594348,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1074,"(220, 221)",2,3.522524183716621,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
1075,"(221, 855)",2,9.824858934361924,63,63,63,63,63,63,63,63,63,63,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,63,0,63
